2021-10-26 08:51:06,340 - Hello Tom
2021-10-26 08:51:09,346 - Hello Again
2021-10-26 08:51:14,352 - Bye
2021-10-26 08:51:14,352 - Hello Tom
2021-10-26 08:56:24,441 - Hello Tom
2021-10-26 08:56:27,447 - Hello Again
2021-10-26 08:56:32,453 - Bye
2021-10-27 19:31:35,262 - Hello Again
2021-10-27 19:31:40,267 - Bye
2021-10-27 19:31:57,498 - Hello Tom4.99
2021-10-27 19:32:00,499 - Hello Again
2021-10-27 19:32:05,504 - Bye
2021-10-27 19:33:22,555 - Hello Tom 4.99
2021-10-27 19:33:32,170 - Hello Tom 4.99
2021-10-27 19:33:32,170 - Hello Again False
2021-10-27 19:33:37,172 - Bye
